Video name,Unique ID,GuidId,Video Link,Notification,Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical limitation,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for (Medical conditions),Tags
Cat Camel,10011,6cc9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Cat_Camel/Cat_Camel.mp4?se=2036-01-25T12%3A23%3A57Z&sp=r&sv=2026-02-06&sr=b&sig=dK68ryJ9wzoxmSPmuESH3il/l07QLqLZIS1kwTLuJco%3D,Cat–Cow: Improve spinal mobility and reduce back stiffness—tap to start.,Cat - Cow,All Ages,All,Mobility,Core,Bodyweight,All,"Acute Wrist Pain, Acute Lumbar Injury",2,8–12,2–3,30–40 sec,Improves spinal mobility and posture awareness,"1. Start on all fours with hands under shoulders and knees under hips.
2. Arch your back upward (Cat) then slowly drop your belly and lift chest (Cow).
3. Continue alternating the movement in a slow controlled rhythm.",Keep a neutral spine and move with control,2.5,"Recent Spinal Surgery, Acute Disc Herniation",Warm up
Bird Dog Exercise,10012,6dc9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Bird_Dog_Exercise/Bird_Dog_Exercise.mp4?se=2036-01-25T12%3A23%3A58Z&sp=r&sv=2026-02-06&sr=b&sig=qzWH3wkH3BBgM6b1Jnbh6pcYnUSz7xrqwurGXmxc/qI%3D,Bird Dog: Improve core stability and balance—tap to begin.,Bird-Dog,All Ages,All,Balance & Stability,Core,Bodyweight,All,"Acute Low Back Pain / Lumbar Injury, Wrist Pain (acute)",2,8–12 (alternating sides),3–5,30–60 sec,Enhances core stability and coordination between limbs,"1. Start on all fours with hands under shoulders and knees under hips.
2. Extend opposite arm and leg while keeping hips and torso stable.
3. Return to start and alternate sides with control.",Keep hips level and avoid arching the lower back,3,"Recent Abdominal Surgery, Acute Lumbar Disc Herniation",Main workout
Chair Squat,10013,6ec9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Chair_Squat/Chair_Squat.mp4?se=2036-01-25T12%3A24%3A00Z&sp=r&sv=2026-02-06&sr=b&sig=d8Sp55AYmu98HrEn0IVgPqlyqOwK5S18057UgEo6EaU%3D,Chair Squat: Improve sit-to-stand strength and knee control—tap to begin.,Chair Squat,All Ages,All,Strength,Lower,Bodyweight,Beginner,"Acute Knee Pain, Acute Hip Pain",2,8–12,4-6,45–60 sec,Builds lower body strength and functional mobility,"1. Stand in front of a chair with feet shoulder-width apart.
2. Lower your hips back and down until you lightly touch the chair.
3. Push through your heels to stand back up.",Sit back into your heels and keep chest lifted,4,"Recent Knee or Hip Surgery, Severe Osteoarthritis flare-up",Main workout
CHILD POSE,10014,6fc9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/CHILD_POSE/CHILD_POSE.mp4?se=2036-01-25T12%3A24%3A07Z&sp=r&sv=2026-02-06&sr=b&sig=Pw64wegB3P%2BhBVs5SdOlkYXjm38I8xoQCF2Go37Z%2BoM%3D,Child's Pose: Gently stretch your lower back and hips—tap to begin.,Child's Pose,All Ages,All,Flexibility / Stretching,Full,Bodyweight,All,"Acute Knee Pain, Acute Hip Pain",1-2,20–30 sec hold,1–3,15–30 sec,Promotes spinal elongation and relaxation of the back and hips,"1. Kneel on the floor and sit your hips back toward your heels.
2. Lower your torso forward and extend your arms in front.
3. Rest and breathe deeply in the stretched position.",Breathe deeply and relax hips toward your heels,1.8,"Recent Knee Surgery, Severe Knee Osteoarthritis flare-up",Cooldown
Chin Tuck,10015,70c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Chin_Tuck/Chin_Tuck.mp4?se=2036-01-25T12%3A24%3A12Z&sp=r&sv=2026-02-06&sr=b&sig=VO5Pi2noWptMoRoYRq6eXKxDB563InqXStMn4cBx/wE%3D,Chin Tucks: Strengthen deep neck flexors and improve head posture—tap to begin.,Chin Tucks ,All Ages,All,Mobility,Upper,Bodyweight,All,"Acute Neck Pain, Cervical Instability",2,8–12,1–3,15–30 sec,Improves neck alignment and counters forward head posture,"1. Sit or stand tall with your head in a neutral position.
2. Gently draw your chin straight back without tilting the head.
3. Hold briefly and return to the starting position.",Gently retract your chin and lengthen the back of the neck,1.5,"Recent Cervical Spine Surgery, Acute Cervical Disc Herniation","Warm up, Main workout"
Cobra pose,10016,71c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Cobra_pose/Cobra_pose.mp4?se=2036-01-25T12%3A24%3A14Z&sp=r&sv=2026-02-06&sr=b&sig=lDyYV07Pzlin9XaYHrfYdKJvg5rsEPOsWIPnoWIFxgQ%3D,Cobra Stretch: Extend your spine and open your chest—tap to begin.,Cobra Stretch,All Ages,All,Flexibility / Stretching,Core,Bodyweight,All,"Acute Low Back Pain, Wrist Pain (acute)",1-2,20–30s,2–3,15–30 sec,Increases thoracic extension and opens the chest,"1. Lie face down with hands placed under shoulders and elbows close to the body.
2. Press through your hands to gently lift your chest while keeping hips on the floor.
3. Hold briefly and lower back down with control.",Press pubic bone into mat and lift chest using upper back control,2.2,"Recent Spinal Surgery, Acute Disc Herniation",Cooldown
Crescent Pose,10017,72c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Crescent_Pose/Crescent_Pose.mp4?se=2036-01-25T12%3A24%3A22Z&sp=r&sv=2026-02-06&sr=b&sig=Gz1h0D7nteaN0pEG2aNYq5gwDt0Ltq5YXHbdnQbKGGY%3D,Crescent Pose (Yoga): Stretch hip flexors while building lower-body balance—tap to begin.,Crescent Pose (Yoga),All Ages,All,Flexibility / Stretching,Full,Bodyweight,All,"Acute Knee Pain, Hip Flexor Strain",1-2,20–30s,2-3,30–40 sec,Supports maintaining an active routine and overall mobility,"1. Step one foot forward into a lunge with the back leg extended behind.
2. Raise both arms overhead while keeping the torso upright.
3. Hold the position, then switch sides.",Maintain a neutral spine and control movement without holding breath,2.5,"Recent Knee Surgery, Severe Balance Disorders",Cooldown
DB Lateral Raise,10018,73c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/DB_Lateral_Raise/DB_Lateral_Raise.mp4?se=2036-01-25T12%3A24%3A23Z&sp=r&sv=2026-02-06&sr=b&sig=tL/bb0UKDXTuqHupgQFElThpnRKCDbzfRy1QhapERQo%3D,Dumbbell Lateral Raise: Strengthen side delts for improved shoulder stability—tap to begin.,Dumbbell Lateral Raise,All Ages,All,Strength,Upper,Dumbbell,All,"Acute Shoulder Impingement, Acute Rotator Cuff Tear",2-3,10–15,5-7,45–60 sec,Strengthens shoulder abductors and improves lateral shoulder stability,"1. Stand tall holding dumbbells at your sides with a slight bend in the elbows.
2. Raise your arms out to the sides until they reach shoulder height.
3. Lower the weights slowly back to the starting position.",Lead with elbows and lift to shoulder height with slow controlled motion,4,"Recent Shoulder Surgery, Severe Shoulder Arthritis (flare-up)",Main workout
Cross-Arm Stretch,10019,74c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Cross-Arm_Stretch/Cross-Arm_Stretch.mp4?se=2036-01-25T12%3A24%3A25Z&sp=r&sv=2026-02-06&sr=b&sig=1lilUw5jooIYdXhfkI0sJnXPV%2BWAgzCDgvDbTW2e4KY%3D,Cross-Arm Stretch: Improve shoulder mobility with a controlled cross-body stretch—tap to begin.,Cross-Arm Stretch,All Ages,All,Flexibility / Stretching,Upper,Bodyweight,All,"Acute Shoulder Pain, Shoulder Impingement",1-2,20–30 sec hold per side,2-3,15–30 sec,Encourages movement variety and helps prevent stiffness from prolonged sitting,"1. Stand or sit tall and bring one arm across your chest.
2. Use the opposite hand to gently pull the arm closer to your body.
3. Hold the stretch and switch sides.",Keep shoulders down and back to avoid shrugging during the movement,2,"Recent Shoulder Surgery, Acute Rotator Cuff Tear",Cooldown
DB Shrugs,10020,75c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/DB_Shrugs/DB_Shrugs.mp4?se=2036-01-25T12%3A24%3A35Z&sp=r&sv=2026-02-06&sr=b&sig=wFslPfTtHqVuRVIAd9EChX7YlXiQtbJGtA7LhWaDitk%3D,Dumbbell Shrugs: Build upper trapezius strength and neck support—tap to begin.,Dumbbell Shrugs,All Ages,All,Mobility,Full,Dumbbell,Intermediate,General joint stiffness (multi-joint / morning stiffness),2,10–15,6–8,60–90 sec,Facilitates gradual mobility gains and supports daily functional movement,"1. Start in a high plank with hands under your shoulders.
2. Bend your elbows to lower your chest toward the ground.
3. Keep a straight line from head to heels as you descend.
4. Push through your hands to return to the starting position.",Breathe steadily and brace core to protect lower back throughout the exercise,4,None,
Dead Bug,10021,76c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Dead_Bug/Dead_Bug.mp4?se=2036-01-25T12%3A24%3A45Z&sp=r&sv=2026-02-06&sr=b&sig=1%2BJziAGFRB6jRc%2ByQ0QBxiIdQpwhhaf27BgVEdJWhcM%3D,Dead Bug: Improve core stability while protecting your lower back—tap to begin.,Dead Bug,All Ages,All,Strength,Core,Bodyweight,Beginner,General joint stiffness (multi-joint / morning stiffness),2,8–12,6–8,60-120 sec,Supports overall mobility and functional movement coordination,"1. Lie on your back with knees bent and feet flat on the floor.
2. Press through your heels and lift your hips toward the ceiling.
3. Squeeze your glutes at the top and hold briefly.
4. Lower your hips back down with control.",Keep a neutral spine and avoid rounding,4,None,
DB Overhead Tricep Extension,10022,77c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/DB_Overhead_Tricep_Extension/DB_Overhead_Tricep_Extension.mp4?se=2036-01-25T12%3A24%3A32Z&sp=r&sv=2026-02-06&sr=b&sig=g%2B3M129ZdRfAMWwMcZgFVqX3XP0Ek6fjCmfA22fYd2Q%3D,Dumbbell Overhead Tricep Extension: Isolate and strengthen your triceps overhead—tap to begin.,Dumbbell Overhead Tricep Extension,All Ages,All,Mobility,Full,Dumbbell,Intermediate,General joint stiffness (multi-joint / morning stiffness),2,8–12,6–8,60-120 sec,Enhances core stability and balance control,"1. Stand tall with feet hip-width apart and shoulders relaxed to begin nan.
2. Hinge at the hips and push the butt back while keeping a neutral spine to lower your torso slightly.
3. Drive through the heels and squeeze the glutes to return to standing and repeat.",Breathe steadily and brace your core,4,None,
Dumbbell RDL,10023,78c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Dumbbell_RDL/Dumbbell_RDL.mp4?se=2036-01-25T12%3A24%3A45Z&sp=r&sv=2026-02-06&sr=b&sig=QKHKDxS6dHuZAYzWZPxZ3Zmm/IoObmwF7v2DEMJ9bF4%3D,Dumbbell Romanian Deadlift: Strengthen hamstrings and reinforce hip hinge mechanics—tap to begin.,Dumbbell Romanian Deadlift,40–59,All,Strength,Lower,Dumbbell,Intermediate,Lower back pain (non-specific),2,8–12,7–9,120-180 sec,Strengthens hamstrings and posterior chain while training hip hinge mechanics,"1. Stand with feet hip-width, hold a bar or dumbbells in front, and keep a slight bend in the knees.
2. Hinge at the hips and push them back while keeping a flat back and sliding the weights down the front of your legs.
3. Lower until you feel a hamstring stretch without rounding the spine.
4. Drive the hips forward, squeeze the glutes, and return to an upright position.",Hinge at hips keeping a neutral spine and soft knees,3.8,"Hypertension, Osteoporosis, Chronic Low Back Pain",
Dumbbell Floor Press,10024,79c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Dumbbell_Floor_Press/Dumbbell_Floor_Press.mp4?se=2036-01-25T12%3A24%3A50Z&sp=r&sv=2026-02-06&sr=b&sig=XtGbBrGlHoMQvpIJrirCxk8yOFJxxhfVBbJ5UMNf4v0%3D,Dumbbell Floor Press: Build chest and triceps strength with joint support—tap to begin.,Dumbbell Floor Press,All Ages,All,Strength,Upper,Dumbbell,Intermediate,Shoulder pain (general),2,8–12,7–8,60-90 sec,Builds chest and triceps strength with reduced shoulder strain,"1. Lie on your back on the floor with knees bent, feet flat, and hold dumbbells over your chest.
2. Lower the dumbbells under control until your elbows touch the floor or reach a comfortable end range.
3. Pause briefly with the dumbbells near the chest.
4. Press the dumbbells upward until your arms are fully extended and repeat.",Retract shoulder blades and control the descent,4.5,None,
Dumbbell Upright Row,10025,7ac9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Dumbbell_Upright_Row/Dumbbell_Upright_Row.mp4?se=2036-01-25T12%3A24%3A50Z&sp=r&sv=2026-02-06&sr=b&sig=23UpeWpZGT/cQT3QeSoBFrEd2Hk9afnwbwoIj1f5Nc8%3D,Dumbbell Upright Row: Strengthen shoulders and upper traps—tap to begin.,Dumbbell Upright Row,All Ages,All,Mobility,Full,Dumbbell,Intermediate,General joint stiffness (multi-joint / morning stiffness),2,8–12,6–8,60-120 sec,Promotes joint range of motion and movement efficiency,"1. Stand tall with feet hip-width apart and arms at your sides.
2. Bend your knees slightly and hinge at the hips while reaching your arms forward.
3. Return to standing by driving hips forward and straightening knees.",Maintain controlled tempo and avoid jerky movements,4,None,
Floor Triceps Dips,10026,7bc9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Floor_Triceps_Dips/Floor_Triceps_Dips.mp4?se=2036-01-25T12%3A24%3A59Z&sp=r&sv=2026-02-06&sr=b&sig=4/ZPEPinDE6IeSgb8KPs7c/uuW4NXM1ufikdLG0Y4Sk%3D,Floor Triceps Dips: Improve arm extension strength using bodyweight—tap to begin.,Floor Triceps Dips,All Ages,All,Strength,Full,Bodyweight,Intermediate,General joint stiffness (multi-joint / morning stiffness),2,8–12,6–8,60-120 sec,Supports muscular endurance and sustained physical activity,"1. Place forearms on the floor under your shoulders and extend your legs behind you.
2. Engage your core and keep your body in a straight line from head to heels.
3. Hold the position while breathing steadily.",Keep a neutral spine and avoid overarching the lower back,4,None,
Glute Bridge,10027,7cc9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Glute_Bridge/Glute_Bridge.mp4?se=2036-01-25T12%3A25%3A08Z&sp=r&sv=2026-02-06&sr=b&sig=VC3YFiWat1wGFruvisyWA0id90YNUBNbBoXYuLhihX4%3D,Glute Bridges: Activate glutes and support lower-back stability—tap to begin.,Glute Bridges,All Ages,All,Mobility,Lower,Bodyweight,Beginner,Reduced core stability,2,10–15,7–9,60-90 sec,Activates glutes and improves hip extension strength,"1. Lie on your back with knees bent and feet flat hip-width apart.
2. Place your arms at your sides and press through your heels.
3. Squeeze your glutes and lift your hips until your body forms a straight line.
4. Pause briefly at the top, then lower your hips back down with control.",Squeeze glutes at the top and maintain a straight line from shoulders to knees,3,None,
Fly Jacks,10028,7dc9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Fly_Jacks/Fly_Jacks.mp4?se=2036-01-25T12%3A25%3A17Z&sp=r&sv=2026-02-06&sr=b&sig=4QZFuGmCLH4ROJ0NGj7h/vaQ8kIT/vsbmT223bnncdM%3D,Fly Jacks: Elevate heart rate with coordinated arm and leg movement—tap to begin.,Fly Jacks,All Ages,All,Cardio,Full,Bodyweight,"Beginner,Intermediate",General joint stiffness (multi-joint / morning stiffness),2,8–12,6–8,60-120 sec,Encourages postural alignment and low back stability during movement,"1. Stand tall with feet hip-width apart.
2. Bend knees slightly and hinge at the hips while reaching hands toward the floor.
3. Drive hips forward and stand up tall while squeezing the glutes.",Breathe steadily and avoid holding your breath during exertion,4,None,
Flutter Kicks,10029,7ec9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Flutter_Kicks/Flutter_Kicks.mp4?se=2036-01-25T12%3A25%3A17Z&sp=r&sv=2026-02-06&sr=b&sig=OQDlmsiUiiOgOTPEOUwY6dcat3YC%2BHiFsZzcD6scgzc%3D,Flutter Kicks: Strengthen lower abdominals with controlled leg motion—tap to begin.,Flutter Kicks,All Ages,All,Strength,Core,Bodyweight,"Beginner,Intermediate",General joint stiffness (multi-joint / morning stiffness),2,8–12,6–8,60-120 sec,Enhances lower body power and coordination in functional tasks,"1. Stand tall with feet together and arms at your sides.
2. Step one foot forward into a shallow lunge while keeping your torso upright.
3. Push through the front heel to return to standing and repeat on the other side.",Keep shoulders down and away from ears to prevent neck tension,4,None,
High Knee March,10030,7fc9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/High_Knee_March/High_Knee_March.mp4?se=2036-01-25T12%3A25%3A19Z&sp=r&sv=2026-02-06&sr=b&sig=kGuYgEcfjQpo3/D%2BtAZjjZypSy8hoFBrOHj83hpJbYg%3D,High Knee March: Improve hip flexor strength and single-leg balance—tap to begin.,High Knee March,All Ages,All,Mobility,Lower,Bodyweight,Beginner,Limited single-leg balance,2,30–60,5–7,30-60 sec,Raises heart rate modestly and improves leg drive and coordination,"1. Stand tall with feet hip-width apart and arms relaxed at your sides.
2. Lift one knee toward hip level while swinging the opposite arm forward.
3. Step down and immediately lift the other knee to the same height.
4. Continue alternating knees at a controlled walking pace.",Land softly and keep core tall while driving knees to hip height,4,None,
Good Morning,10031,80c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Good_Morning/Good_Morning.mp4?se=2036-01-25T12%3A25%3A25Z&sp=r&sv=2026-02-06&sr=b&sig=qe8s/W6gewkS6A3CXqRYm87opLWtKhbgSvB0Nogll10%3D,Good Mornings (Bodyweight): Reinforce hip hinge pattern and posterior chain activation—tap to begin.,Good Mornings (Bodyweight),40–59,All,Strength,Lower,Bodyweight,Beginner,Lower back pain (non-specific),2,10–15,6–8,60–90 sec,Strengthens posterior chain and improves hip hinge mechanics,"1. Stand with feet hip-width apart, knees soft, and hands behind your head.
2. Hinge at the hips and push your hips back while keeping your spine neutral and chest lifted.
3. Lower until your torso is parallel to the floor or you feel tension in the hamstrings.
4. Drive your hips forward to return to standing and squeeze your glutes.",Hinge at the hips with a neutral spine and chest lifted,3.4,None,
